case_id,ENSG00000141510.18 TP53,ENSG00000146648.19 EGFR,ENSG00000168702.18 LRP1B,ENSG00000133703.13 KRAS,ENSG00000116044.16 NFE2L2,ENSG00000147889.18 CDKN2A,ENSG00000101825.8 MXRA5,ENSG00000110628.16 SLC22A18,ENSG00000008226.20 DLEC1,ENSG00000141736.14 ERBB2,ENSG00000157764.14 BRAF,lung_cancer
0811dae6-0c8d-42cf-9384-81649d072407,31.0140,106.4194,0.1580,40.3591,125.3807,41.7931,108.7697,15.2506,1.3570,68.6527,5.1471,1
0827512b-4fd5-405e-ba15-fb69ee8fddba,19.9504,113.6563,0.0040,20.7246,334.4789,21.5608,33.4254,11.7964,0.9054,50.8768,6.6001,1
0869efb9-b167-45af-8b2c-67433e39baad,32.1165,10.1819,0.1151,29.8764,42.2347,2.9796,5.0684,18.5128,0.8352,76.0932,4.9640,1
0885869c-6a39-4824-92b5-1a7ecdb1a3bc,16.8231,99.9261,0.3480,32.1774,68.5226,1.1557,78.4399,8.6919,5.5365,82.7700,14.5105,1
0889a6ea-a12a-4cc9-bec5-3103a3cdbba3,55.3478,52.3317,0.0501,18.7790,104.6421,9.3480,39.4729,8.9915,1.1135,56.2600,5.2874,1
08971a88-cb64-4030-93e5-08d77d2ed654,35.3890,36.3967,0.0790,23.7309,80.1605,7.4812,194.8646,19.5805,0.5939,46.6005,2.7701,1
08d31f4a-d87e-4413-8446-8ba45c97d63e,69.9405,233.9593,0.1184,22.9174,91.9938,55.8575,137.1323,15.2432,0.1882,71.7572,2.7003,1
08d83462-5fcb-40c6-9d44-dbc42faa4df6,13.4855,32.2019,0.4652,35.7703,126.4689,25.2575,55.1482,11.5459,1.9924,168.2941,16.6881,1
0905662e-ae14-4807-94ef-69db108fa2ee,15.5337,48.8739,0.0149,23.7671,95.7631,2.9493,130.5294,10.9985,0.4386,68.8926,7.5980,1
09152b74-f690-4dbc-a398-1f8dde28ec06,31.8779,40.9398,0.0230,18.7388,107.4711,0.9208,108.2227,6.8748,2.5686,44.4116,3.9933,1
091d2c9e-a8cb-4212-a434-7c7d4fd75f7b,21.9835,125.2471,0.2691,70.4280,147.6623,12.3503,27.0039,6.6215,15.4417,22.7491,39.6975,1
09296d1f-9877-438d-96d8-7b4cc52940dd,27.7642,14.1550,0.0057,45.8150,58.8467,18.6593,84.0199,32.6248,1.5231,90.5174,2.4329,1
093527d0-4b50-4ae4-8a69-eecc671262f8,20.5072,28.0315,0.0315,13.7930,38.5351,3.8989,53.6629,18.5126,1.6932,913.8343,20.0261,1
09d93479-0186-4de5-830d-3e2a4236ac35,6.2579,13.4405,13.2165,35.4784,72.9822,8.4521,108.9712,4.2254,0.7368,640.1238,13.6363,1
09f9f414-db5b-4b54-9e8e-234bf9d7c678,36.8571,35.1211,0.0000,35.3679,90.9621,2.9279,13.3715,13.0288,0.7162,74.2907,7.8961,1
0a03b39d-ac42-4257-b7ff-a007bc642cb4,18.3401,29.2064,0.1515,24.2603,56.8400,4.2979,140.9207,9.0274,3.7079,96.2348,13.9673,1
0a7d4db5-4dd8-4eb7-9798-afb3c0a7ebd7,18.3563,74.4729,0.0732,36.7206,60.1456,1.5398,103.3442,13.6470,2.9894,49.3349,13.9048,1
0aa94f04-67c7-498a-a537-48301ec52810,9.5221,21.0909,0.0817,51.2431,50.2014,0.4853,45.1681,14.2217,0.7349,11.3562,9.0147,1
0ab4a1bc-c9e6-4ab0-9582-4b364cd029db,22.3150,91.7869,0.3103,24.6897,97.7255,1.9408,19.2198,11.3790,5.0346,41.4174,20.5750,1
0b050c63-6aed-4573-bac1-30d36781fb1a,38.9257,91.6590,0.0000,21.2159,181.9409,82.0066,57.3837,24.1298,0.3770,50.7259,4.3700,1
0b73f593-b6e8-4897-9b9b-f09e65e436b7,62.6855,64.0761,0.0000,43.5753,99.6319,6.5749,40.6033,39.1299,3.0093,133.4706,6.1883,1
0b7990e5-9649-48bc-9d89-d1aa19084ee2,12.1740,33.0927,0.0439,14.2312,49.5271,12.7146,65.7521,3.1969,3.5148,15.7643,8.1398,1
0b91d17d-de8c-495e-b094-e571111b1e03,39.0121,30.4587,0.0783,31.5600,107.4761,28.4557,121.1451,8.4734,1.5408,29.8003,3.4048,1
0ba182bb-6f71-4648-bca3-26185d3d08eb,18.2673,52.6090,0.0167,34.9325,52.0756,1.5451,110.9996,5.2509,1.3853,72.7457,16.8335,1
0bfe52ec-dbe3-44e7-8c14-78391445537c,51.3561,189.1914,0.6617,61.2553,227.5517,0.2864,58.4694,12.2684,0.7642,73.8760,5.9867,1
0c09a94d-8885-49fb-91c1-aa0ebf52386a,24.8856,44.7718,0.0123,29.2965,62.5343,2.5662,19.3555,23.0373,4.4217,104.5395,5.7566,1
0c212a58-9a27-4850-bb22-540502e893dc,39.4708,1.4906,0.0424,26.5693,58.1262,78.9516,7.9122,38.6818,0.4683,8.6172,4.8322,1
0c23028e-a6fa-4171-8844-d42b54094bf8,23.2393,23.5824,0.0693,23.4540,53.8941,3.5473,307.2892,3.8320,0.7227,181.3240,11.0188,1
0ce95bee-0c0b-4f29-982f-d94dc269c355,20.7697,53.5876,0.0483,20.3496,218.1464,16.9693,8.9412,3.4371,1.3033,42.4473,10.0140,1
0d7c7ed6-8fc3-42c1-9669-297584b110c5,103.5100,68.0166,0.9417,140.9056,265.7574,72.9800,49.8174,8.9180,0.6673,37.1654,8.1158,1
0d93aa2b-c0f1-495c-8c73-68719d0e8b4e,42.6860,54.2331,1.6718,53.5278,194.5134,97.6058,100.9721,16.1112,0.8720,67.5973,4.5011,1
0d9e4a3d-2b2d-4090-a9d4-9343a75d2150,9.9591,21.6256,0.4320,21.8427,57.7550,21.5350,26.1459,11.6122,3.7031,76.3726,11.8715,1
0da74bba-de0a-4583-acc9-5f5e0a4ad0a4,7.0302,25.6261,0.1379,39.3447,49.5162,61.3733,163.0071,5.6067,0.7948,116.7461,15.5396,1
0e15d2fa-39c9-4c33-8dd2-f4ab063009c1,18.6212,86.4764,0.0690,15.0702,45.4315,1.3793,47.2869,16.6198,1.5137,36.3855,6.4934,1
0e480f18-0e72-444e-b7e1-956a439471ad,11.5399,63.0222,0.0107,25.6072,172.7871,7.1773,171.9706,5.5149,0.1683,56.2334,3.5361,1
0e6fc8f1-34ca-4f3b-9d71-5a867e5efb07,41.4006,26.0320,0.0054,17.7065,70.7287,8.2019,34.5793,35.8702,0.4844,55.5207,2.6458,1
0e9a8104-cb3b-440d-bcd9-62bac649e01e,23.8187,73.8375,0.1122,23.4358,70.4678,5.1467,27.1024,10.8535,2.3870,46.9929,22.3301,1
0e9c2659-4131-4274-b0b4-3e191239f5f3,59.9193,225.9149,0.0348,24.5442,75.9473,35.0228,190.7957,13.0381,0.4908,47.6775,3.7303,1
0ece8b9b-d1c3-4f03-b70d-6bc06c6f52ce,28.4993,4.3180,0.1817,18.5600,33.3676,27.1616,2.5104,61.3360,0.7700,117.1479,2.9125,1
0f01f50f-495a-455d-986d-28c65e345a80,41.7771,19.7896,0.0391,27.4033,77.9396,1.1510,6.4039,20.2538,1.4009,175.1191,4.4882,1
0f33de26-bdfd-4ae1-9b84-e28665056eb0,13.8670,69.3531,0.1215,15.9847,32.1368,17.1495,51.0315,7.6262,1.3996,82.0751,15.4736,1
0f3755ec-9e0e-4fc9-ae14-a32d6b486a7e,42.2822,39.7783,0.0712,34.2373,116.2029,94.4368,58.9438,8.7188,0.2426,22.8550,2.3989,1
0f37f5ba-3582-4c61-8c70-bf9b0ede6e71,39.8158,53.0632,0.0040,31.6881,66.5305,4.7473,98.0838,22.1366,2.5516,66.1556,4.7842,1
0f6c6bd3-2f1c-4358-9ce0-00cbef1693bc,10.5543,53.1472,0.4718,35.3936,279.4046,30.5559,16.7852,12.9165,3.7212,77.4633,7.4319,1
0f88742e-ebfe-4d72-9720-5b5db9057b79,9.7397,41.9947,0.0308,13.0528,54.1043,0.4538,30.5189,18.0913,0.6343,71.9140,10.4363,1
0f8d9955-f171-43ba-96d2-0050ae93644c,36.2481,97.0060,0.0170,36.5014,83.6317,0.4760,16.6565,7.6719,1.6081,106.5713,30.0299,1
0fe3bf01-415a-4945-8606-74b92ae9da44,31.0603,11.8842,0.0329,17.8385,54.4924,1.3153,37.9260,4.7173,1.1048,27.5962,3.7904,1
1001bb71-0ebe-4c9f-aba1-5f0fe2f3c4a6,28.3811,32.9850,0.0750,28.7454,48.4820,2.6621,66.2789,5.0767,1.3665,22.0534,13.0384,1
1018a842-45da-43f6-a7c6-9b1fe4e0e1d3,15.0556,9.3106,0.1691,26.5984,54.3260,1.3763,59.7925,4.8110,4.1571,79.5645,11.0309,1
104467e9-4e35-4123-ab36-98a03517901f,20.9153,69.2972,0.1219,18.7994,98.3936,9.2546,36.7331,11.3896,5.3657,84.0854,25.7214,1
108d78db-9d31-4dbf-86f7-5e50134b91a6,33.8066,86.4760,0.3625,36.4587,230.5137,34.2094,36.4898,34.7247,0.7850,62.5422,6.3814,1
1098101e-1770-4055-ae41-d6c15e1c7b90,66.2952,15.7993,3.9579,99.2511,110.1275,0.2728,51.1903,30.9450,0.4872,133.4885,7.1830,1
10acdc61-cf73-4187-a6d2-f7d2e1565cec,68.5046,891.1296,0.0000,26.1428,107.7610,13.4993,75.3659,5.7724,0.3177,25.6429,3.6713,1
10b7ef4e-f3e3-42f0-8a12-b2dfe25b7277,22.7079,30.2074,0.0249,61.3902,51.4670,1.4508,28.6137,7.9449,1.4741,97.6481,12.4555,1
10bec46a-08c3-4fe7-a65a-d801705fca17,21.2950,27.4279,0.0071,19.5684,69.5567,1.3612,48.4612,7.4652,1.7423,31.8115,4.4042,1
10cdb0af-b041-41fa-820e-8464a05cb20d,38.5637,25.1941,0.0143,30.0290,131.8318,13.1517,173.9003,14.1817,0.2245,18.8196,4.3143,1
11169fd2-c061-4a88-90a3-7e610a60c331,18.8340,12.7199,0.2401,33.3917,40.5353,5.0166,57.8871,4.4904,3.1224,42.4736,11.6688,1
1120d776-47df-4f72-862e-427d3c44dd43,8.4962,789.5993,0.3972,41.4438,88.0770,0.2787,78.4552,5.7798,0.2397,72.4835,4.2617,1
119e7a6c-7fd1-4a2d-bfdc-35cb13d39414,42.3496,28.5218,0.0612,15.0316,70.5142,32.0388,30.6336,35.7667,3.7087,136.1083,3.8402,1
11f764d3-db26-4569-acf4-87fe91bfe1ce,16.7382,69.4361,0.0723,24.8961,38.3443,18.9295,20.8534,6.9461,2.5371,59.8063,7.5432,1
12272d02-341e-43a2-aa23-7232a8dde730,8.8838,143.8422,0.0000,37.7788,91.2359,2.0036,19.2098,14.7226,2.6850,133.3927,8.7896,1
125a1d73-c62c-4776-85ae-bc50871f22bf,9.8893,22.6878,0.2426,31.3484,316.4181,9.8047,35.9440,12.7027,0.6916,44.1903,4.5041,1
12898e2b-86d5-4c0e-8a53-dec1fd528f42,64.7440,63.8108,0.0087,21.6071,33.3302,4.9181,117.3295,31.5612,0.6365,288.6032,4.4030,1
129c1f60-ef76-4564-83e8-cc5ce3d4eb16,29.9749,65.3215,0.0926,23.0694,80.9276,2.6678,96.5214,10.6635,5.4050,58.6721,15.2120,1
129f7ee5-6342-4a24-9317-d52462ce6a70,66.9805,17.8819,0.7829,24.1165,79.0057,0.2589,5.7183,33.9003,3.0712,199.1803,5.4952,1
12a6061e-a523-4d60-84d2-87d698b18c96,12.0089,10.8929,0.0000,16.5966,8.0130,5.8483,9.2700,0.0000,5.4499,15.4099,20.3618,1
12c6b36b-dcb9-483c-804e-a134ae50f587,36.1502,21.8496,0.0825,182.0023,123.4187,6.4509,66.3672,12.8134,0.5139,68.5987,5.8434,1
12c81c8b-9937-4b35-b374-0fd21d2481e6,31.2591,47.5181,0.0093,16.7661,116.5953,24.1289,114.1524,8.5136,2.5579,34.8245,2.3773,1
12c95903-cae1-4f9f-97c7-05ab05f4fd7f,33.8891,50.3836,0.0567,20.2955,51.3784,11.3535,21.7778,12.8723,2.4521,93.1755,4.3068,1
12d419ee-1f41-40c1-9c75-03fded456055,10.2350,166.0555,0.8780,93.5485,234.4109,0.0933,76.5882,9.1092,0.2610,38.1432,7.3601,1
12f5eaa4-9f64-4465-bfa6-3d9307e9f980,24.5410,29.9910,0.0000,15.0974,64.0828,7.0221,1.8797,36.1439,0.7367,45.6702,3.4117,1
132bc0ae-2498-4a65-bcb9-1970b70b0df5,46.3029,5.8722,0.0000,19.6974,39.6195,31.7246,25.9529,9.5581,0.3386,79.7718,2.6196,1
133bfadb-ed2e-4b10-a5bf-46d31ade6dd4,25.8676,7.0680,0.0044,28.5945,40.7558,11.0821,51.3419,8.4446,0.3032,59.0414,3.0411,1
13a1c368-a939-4c81-bb51-8ae31da5ba14,62.0068,814.0253,0.5935,33.2274,414.0338,56.7613,10.2090,8.3319,0.2817,44.0856,7.1654,1
13f74ba9-96c5-4074-9589-3ce0e183c0e9,47.4345,22.6282,0.1413,99.4407,77.5321,3.2833,5.7107,13.2888,0.3491,18.1983,2.6596,1
140633c2-a8e9-4a2d-a044-082cd099ff98,12.5974,7.6852,0.0285,8.6095,45.9421,7.4647,22.0223,9.4222,0.6222,117.8650,2.6341,1
14350006-3c6f-4079-8a35-afd1e5f8a29a,23.5377,40.3003,0.6045,34.0637,74.2404,16.7049,47.6495,6.5062,0.9349,31.0594,8.5115,1
147111bd-92d8-4ec5-aa9d-66a27dab8d4a,199.7747,48.7472,0.3759,28.9253,465.7318,18.1482,10.5338,25.1074,0.5706,151.7648,4.7197,1
148c1368-6302-4daf-b389-2c92f5da0529,31.4116,28.3904,0.7901,56.3368,76.6137,0.6580,96.3818,18.8404,0.3406,72.0158,3.6149,1
14ada415-4959-4b08-9761-c182d55362aa,13.0573,28.0093,0.0082,17.4971,64.0239,4.0445,85.1214,4.7313,1.4073,30.3044,13.7705,1
14d76abd-84f2-4875-8d03-5a27b4505715,59.3156,39.0707,0.0059,38.7905,42.5302,0.8484,127.0494,8.3765,0.2093,85.9139,4.6375,1
1529d8e6-10d2-4e7c-bfb1-66820434c835,21.6654,27.9344,0.0053,10.9852,44.6275,9.8791,1.5091,26.1871,5.1040,46.3017,3.2757,1
157223aa-aab5-4522-8ff2-8104ea3561d9,10.5270,60.3174,0.0631,16.3849,73.9143,16.5756,3.9639,13.9415,0.0983,19.2181,3.0992,1
15998b11-5041-4e2d-94d9-cf714c796c13,45.2254,10.3500,0.0349,23.0673,37.4637,0.7938,3.4176,23.6848,0.4612,99.0510,3.7647,1
159c6763-6fc8-4ed6-b21d-7458b1289978,79.1439,22.4594,0.6755,36.0256,252.8855,0.5171,27.5088,14.2867,0.3257,42.6166,2.1780,1
15a57d06-841c-473e-b89e-389f1df3504a,64.8143,5.0384,0.0113,33.8673,40.5296,4.2168,8.7710,22.3357,0.1409,51.7086,4.8436,1
15c2c11b-42b9-43f0-a954-b1133a34fcad,7.2838,82.0762,0.1928,33.3182,49.4754,1.5766,33.9287,6.9909,1.1451,34.0618,30.0587,1
15f8d2a3-fd84-4828-b0f5-4cee5711c193,7.2533,60.4576,0.1170,28.7953,49.6933,16.3879,89.2807,11.0741,1.3218,42.3248,13.8259,1
1677f6e6-b177-4f08-9621-4f762c3a2e45,36.8788,15.0985,0.9936,36.4032,355.7738,30.9320,92.2406,2.8336,5.0170,38.9883,6.6745,1
167b35b1-7858-4b23-8b87-17c660b5d658,19.8741,29.0647,0.0564,39.6971,60.5256,1.2053,72.0975,5.2624,1.0040,83.8013,13.2611,1
16868c31-baad-4796-a5ca-c65c902580af,62.4896,46.6872,0.0000,55.6845,38.1931,99.6262,83.6632,7.8083,0.2080,52.4023,3.4764,1
169b5555-f64c-4bbd-9c07-af0c42ddb6aa,21.9718,3.1421,0.0000,17.3518,58.3177,53.0058,15.0698,18.4714,0.2406,133.5231,3.1302,1
16dc015e-0f5b-4278-a0cb-9ae30a280161,40.5130,25.8035,0.0414,28.8480,57.5411,4.7691,45.5119,11.0465,4.3935,119.6547,5.3019,1
17546ba3-9a3f-4b0a-8283-35d55c492679,10.1193,39.6908,0.0689,30.8643,59.2042,7.7077,31.7187,7.2061,2.0261,97.0907,18.5969,1
17ddff0c-a5c2-4f82-b638-fe13c20de1d3,102.3179,26.4481,8.5669,52.5771,147.4941,107.3698,14.7167,3.9750,0.5147,140.2577,6.0463,1
18343926-5f51-4bb2-a699-96b31c862241,6.6581,27.7045,0.0342,29.3857,52.4939,0.2015,137.2416,5.6428,0.1475,46.7670,8.6507,1
1860869f-ecb5-43ae-9714-328ff5748c2a,24.2853,6.7869,0.0070,19.5664,33.6055,0.8451,24.6864,4.4483,0.3390,40.6644,3.5053,1
1876b908-e911-464f-be23-2b4eae0a43b6,30.9022,31.4831,0.0127,27.1017,73.4101,9.1615,80.9357,10.1930,0.5398,78.7869,4.8877,1
18be89fe-3383-45a2-9c0e-b1246e88c82d,14.7834,164.7505,0.0168,22.0943,57.1808,19.0553,77.2895,20.5161,0.4373,64.3646,2.6656,1
18f7582b-048d-4ba2-8035-0a033435b24d,13.7995,63.2840,0.0999,14.1475,65.3289,0.8243,57.7753,7.7099,0.3281,43.1971,2.5624,1
191dca25-e199-4d68-9123-2bd9bfa832de,13.3762,44.1693,1.0216,18.5081,49.2171,10.0020,64.3621,18.5281,1.6046,52.2933,6.5565,1
19523b40-a72b-47d3-acad-9720a26128ed,32.2950,66.6075,0.7373,59.8218,457.2098,0.1325,17.6996,49.6047,0.9259,41.6051,5.9524,1
19bb0296-340e-4594-9a87-4134b15c7187,48.3189,123.5958,0.0294,37.0664,114.7631,1.1143,281.8946,20.0173,1.3960,112.9228,6.3015,1
19c3cbe3-33ce-4a3c-ad27-6466f373f78b,28.0009,7.4119,0.0089,24.2753,55.9354,42.7331,59.3611,3.6024,1.4979,67.1301,12.1623,1
19fb2e8f-1227-4388-b553-1fc39c26ed48,19.2512,58.6070,0.0104,16.4449,157.1716,0.3364,45.5091,5.0186,2.1671,26.4761,4.2023,1
1a2c05e5-adb0-4022-b459-5d6555d1ddcc,17.7471,37.7193,0.4234,28.9837,48.1780,6.5827,13.6350,17.3568,1.9086,46.0135,8.8215,1
1a4c524e-8e75-436e-8ccf-cce6ae3d6eb3,55.3281,23.2397,0.1820,36.5743,58.6891,2.9591,52.8353,43.4833,2.2097,171.2870,3.0400,1
1a80f876-7306-4068-998a-3f32849173ca,149.1719,68.0981,0.3797,39.3534,96.1538,11.7319,205.0995,12.2615,0.3961,72.2380,6.2777,1
1a8fa56b-deaf-48ac-958c-46b5c86cdb80,40.8481,18.6724,0.0305,18.4233,47.3900,57.6228,35.2951,8.3470,0.2196,21.6902,2.2232,1
1ab1279d-7ccd-4450-8de8-9987bf6627dd,13.5279,52.7027,1.0110,82.2622,91.3837,18.2484,161.6751,10.1755,1.5484,31.7116,36.9626,1
1af8fb08-9f78-4db3-92f5-ee4df320c12e,13.5341,30.7057,0.0788,23.2259,77.2806,3.8409,52.8382,12.0442,3.0711,80.9988,13.1366,1
1aff8a31-97b2-4bde-ac5a-f3a958bf74dc,58.1996,27.6144,0.0079,17.4873,81.6265,28.0161,29.1390,23.5873,0.8139,83.2073,6.1922,1
1b3c069d-4c53-4fac-b78f-d14d976c696c,50.7301,96.9873,0.2863,25.6029,161.4398,3.5235,2.0209,8.8835,6.9846,129.6866,7.3789,1
